pdf,global_id,dataset,well_name,locid,parlabel,parvq,risunits,logdate,lat,long,ns
Y,03049313,FRACK,Aera Energy LLC,968F-34 ,WELL # 968F-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.44275,-119.69506,1
null,11120282,FRACK,Seneca Resources Corporation,10,!MEL BLANC! 10 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4772864,-118.89109,1
Y,03049666,FRACK,Aera Energy LLC,578E4-12 ,WELL # 578E4-12 ,=,null,BELRIDGE SOUTH OILFIELD,35.500763,-119.76512,1
Y,03047531,FRACK,Aera Energy LLC,6224A,!LOST HILLS ONE! 6224A - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.610932,-119.72460,1
Y,03045299,FRACK,Aera Energy LLC,518GR4-20,WELL # 518GR4-20 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.471825,-119.74167,1
null,11121261,FRACK,Vintage Production California LLC,65,!HAMP! 65 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4354055,-119.08960,1
null,11120143,FRACK,Seneca Resources Corporation,33X-33,!WHITE STAR! 33X-33 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4778889,-118.87890,1
null,11121530,FRACK,Seneca Resources Corporation,32-28,!ELM CREEK! 32-28 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4934997,-118.88013,1
null,11120844,FRACK,Seneca Resources Corporation,59V-28,!TAR CREEK! 59V-28 - NOT DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4940339,-118.87451,1
Y,03049890,FRACK,Aera Energy LLC,Lost Hills Govt 7499 ,WELL # LOST HILLS GOVT 7499 ,=,null,LOST HILLS OILFIELD,35.662633,-119.75953,1
Y,03047759,FRACK,Aera Energy LLC,732GL-29,WELL # 732GL-29 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.468195,-119.73705,1
Y,03045259,FRACK,Aera Energy LLC,522ZR2-29,WELL # 522ZR2-29,=,null,BELRIDGE SOUTH OILFIELD,35.467952,-119.73862,1
Y,03045543,FRACK,Aera Energy LLC,925F-34,WELL # 925F-34,=,null,BELRIDGE SOUTH OILFIELD,35.448062,-119.70413,1
null,11121495,FRACK,Seneca Resources Corporation,37,!FRANKEL B! 37 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4761702,-118.86720,1
null,11100058,FRACK,Seneca Resources Corporation,25-33,!WHITE STAR! 25-33 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4746040,-118.88082,1
null,11120299,FRACK,Seneca Resources Corporation,83G-33,!ORCUTT! 83G-33 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4792914,-118.86849,1
Y,03046674,FRACK,Vintage Production California LLC,10H,!GOOD SHOW! 10H - HORIZONTALLY DRILLED,=,null,ROSE OILFIELD,35.6313259,-119.33534,1
null,03120486,FRACK,INNEX California Inc.,58-85,WELL # 58-85,=,null,KETTLEMAN MIDDLE DOME OILFIELD,35.8636488,-119.94073,1
Y,03047070,FRACK,Aera Energy LLC,87WHR-19,!KING! 87WHR-19,=,null,BELRIDGE SOUTH OILFIELD,35.472516,-119.74419,1
Y,03047330,FRACK,Aera Energy LLC,7406D-2,!BELRIDGE V! 7406D-2 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.431267,-119.68202,1
null,05905537,FRACK,Columbine Associates,4,!DOMETAL! 4,=,null,ESPERANZA OILFIELD,33.9004982,-117.76507,1
Y,03049661,FRACK,Aera Energy LLC,568U2-12 ,WELL # 568U2-12 ,=,null,BELRIDGE SOUTH OILFIELD,35.500118,-119.76613,1
Y,03048827,FRACK,Aera Energy LLC,533E7-35 ,WELL # 533E7-35 ,=,null,BELRIDGE NORTH OILFIELD,35.535173,-119.78137,1
